rank_priority_only,issue_key,project,created_ts,updated_ts,issue_type,status,priority,priority_ordinal,text_len,text
11,AIRFLOW-747,AIRFLOW,1484155872000,1484688596000,Bug,Closed,Blocker,1,1001,"retry_delay not honored In Airflow 1.8 alpha 2, using LocalExecutor, DAGs do not seem to honor the retry_delay parameter, i.e. the retries happen immediately one after the other without waiting the specific retry_delay time. However, the number of retries is honored. I am testing with the following code: from airflow import DAG from airflow.operators.bash_operator import BashOperator from datetime import datetime, timedelta default_args = { 'owner': 'airflow', 'depends_on_past': False, 'start_date': datetime(2016, 10, 5, 19), 'end_date': datetime(2016, 10, 6, 19), 'email': ['airflow@airflow.com'], 'email_on_failure': False, 'email_on_retry': False, 'retries': 10, 'retry_delay': timedelta(0, 500) } dag = DAG('test_retry_handling_job', default_args=default_args, schedule_interval='@once') task1 = BashOperator( task_id='test_retry_handling_op1', bash_command='exit 1', dag=dag) task2 = BashOperator( task_id='test_retry_handling_op2', bash_command='exit 1', dag=dag) task2.set_upstream(task1)"
12,AIRFLOW-778,AIRFLOW,1484943262000,1486061708000,Bug,Resolved,Blocker,1,267,Metastore Partition Sensor Broken MetastorePartitionSensor always throws an exception on initialization due to 72cc8b3006576153aa30d27643807b4ae5dfb593 . Looks like the tests for this are only run if an explicit flag is set which is how this got past CI. cc [~xuanji]
13,AIRFLOW-803,AIRFLOW,1485341396000,1489525140000,Bug,Resolved,Blocker,1,461,"Manual triggered dags are not running After cgroups+impersonation was added the task_instances for manually created dag_runs are not executed anymore. This is due to the fact the task_instance table is now joined against running dag_runs with a 'scheduled' run_id. This change is however not required, as task_instances will only be in 'scheduled' state when they are send to the executore. Tasks from dag_runs in failed state will not be scheduled by contract."
14,AIRFLOW-821,AIRFLOW,1485857944000,1487511153000,Bug,Resolved,Blocker,1,237,Scheduler dagbag importing not Py3 compatible Function {{update_import_errors}} in scheduler (https://github.com/apache/incubator-airflow/blob/master/airflow/jobs.py#L694) in not Py3 compatible (using {{iteritems}} instead of {{items}}).
15,AIRFLOW-844,AIRFLOW,1486421662000,1486500622000,Bug,Resolved,Blocker,1,159,"CgroupTaskRunner does not create cgroups correctly Right now os.mkdir is used to create cgroups which is incorrect, instead the cgroups library should be used."
16,AIRFLOW-846,AIRFLOW,1486467795000,1489524613000,Task,Closed,Blocker,1,536,"Release schedule, latest tag is too old To my understanding, there is no clear point about the release schedule of the project. The latest tag is 1.7.1.3 from June 2016, which is not well suited for production now days. For example, the latest available release is still affected by AIRFLOW-178 which means that we have to patch the sources on production to work with ZIP files. Could you please share your thoughts and position on the release planning of the project ? Would it be possible to get a newer tag sometimes soon ? Thank you"
17,AIRFLOW-847,AIRFLOW,1486475103000,1558131912000,Bug,Resolved,Blocker,1,220,Xcoms are not passed into SubDAG It's not possible to do a xcom_pull within a subdag None of the following seems to be working: * As templated var in SubDagoperator * As var in SubDagoperator * From within Subdag-factory
18,AIRFLOW-856,AIRFLOW,1486675763000,1486732738000,Bug,Resolved,Blocker,1,316,"Execution_date is always set to None in local_client API def trigger_dag(self, dag_id, run_id=None, conf=None, execution_date=None): dr = trigger_dag.trigger_dag(dag_id=dag_id, run_id=run_id, conf=conf, execution_date=None) return ""Created {}"".format(dr) is the code in local_client. This sets execution_date to None"
19,AIRFLOW-893,AIRFLOW,1487798258000,1487886741000,Bug,Resolved,Blocker,1,259,"Webservers crash when a DAG doesn't have a start date set This commit introduced a bug: [AIRFLOW-510] Filter Paused Dags, show Last Run & Trigger Dag 7c94d81c390881643f94d5e3d7d6fb351a445b72 Where webservers will crash if a DAG does not have a start date set."
20,AIRFLOW-894,AIRFLOW,1487865446000,1516027157000,Bug,Closed,Blocker,1,1158,"Trigger Rules not functioning Code below fails to schedule the join task. This includes with trigger rules for all_done, and one_success. It seems to only occur when dynamically generating tasks. from airflow import DAG from airflow.operators import PythonOperator, BranchPythonOperator, DummyOperator from datetime import datetime, timedelta from datetime import datetime from slackclient import SlackClient default_args = { 'owner': 'analytics', 'depends_on_past': False, #'start_date': sixty_days_ago, 'start_date': datetime(2017, 2, 22), 'retries': 0 # 'retry_delay': timedelta(seconds=30), } dag = DAG( 'Valet_Data', default_args=default_args, schedule_interval='*/5 * * * *', dagrun_timeout=timedelta(seconds=60)) def valet_function(locdata, ds, **kwargs): if locdata == 'D': print(intentionalFail) join = DummyOperator( task_id='join', trigger_rule='all_done', dag=dag ) list = ['A','B','C','D','E','F','G','H','I','J','Z'] for l in list: task = PythonOperator( task_id='{0}_PANTS'.format(l), provide_context=True, python_callable=valet_function, op_kwargs={'locdata': l}, # on_failure_callback=on_failure, # on_success_callback=on_success, dag=dag, )"
21,AIRFLOW-897,AIRFLOW,1487885310000,1487975374000,Bug,Closed,Blocker,1,320,"Dagruns get marked as failed as soon as one root task fails In 1.7.1, all root tasks must have failed in order for a dagrun to fail, in 1.8.0 a single root task failure will fail a dagrun and prevent all other tasks in the DAG from running which is not logical behavior and a regression from 1.7.1. [~bolke][~criccomini]"
22,AIRFLOW-910,AIRFLOW,1488047085000,1569858390000,Sub-task,Resolved,Blocker,1,167,Parallelize dag runs in backfills Currently dag runs are executed sequentially while backfilling. This is a regression and slows down the processing off tasks. [~aoen]
23,AIRFLOW-921,AIRFLOW,1488223549000,1489380318000,Task,Resolved,Blocker,1,600,"1.8.0rc Issues These are the pending issues for the Airflow 1.8.0 release: Blockers: [~bolke] please merge into the next RC and then remove from the list the sub-tasks linked in this JIRA Other Issues: - High DB Load (~8x more than 1.7) - We are still investigating but it's probably not a blocker for the release - (Theories: Might need execution_date index on dag_run (based on slow process list) OR it might be this query which is long running SELECT union_ti.dag_id AS union_ti_dag_id, union_ti.state AS union_ti_state, count( *) AS count_1 FR)) - Front page loading time is a lot slower [~bolke]"
24,AIRFLOW-932,AIRFLOW,1488394470000,1489380308000,Sub-task,Resolved,Blocker,1,90,Backfills delete existing task instances and mark them as removed I'm still investigating.
25,AIRFLOW-934,AIRFLOW,1488425529000,1489519643000,Bug,Resolved,Blocker,1,2440,"airflow delayed the task to start we have a complex DAG which includes many tasks. but recently we found some tasks start delayed. for instance: start_task(which will start at 00:00) --> create_cluster(will finished at 00:11) --> wait_task(start at 00:16) , note: 1. wait_task only has one upstream that is create_cluster 2. the server that the airflow hosts has enough memory, and celeryd_concurrency is 20. below is the log of wait_task: [2017-03-02 00:16:39,602] {models.py:124} INFO - Filling up the DagBag from /home/ubuntu/airflow/dags/etl_prod/etl_prod.py [2017-03-02 00:16:39,603] {models.py:197} INFO - Importing /home/ubuntu/airflow/dags/etl_prod/etl_prod.py [2017-03-02 00:16:39,613] {models.py:284} INFO - Loaded DAG <DAG: etl_prod> [2017-03-02 00:16:40,333] {models.py:124} INFO - Filling up the DagBag from /home/ubuntu/airflow/dags/etl_prod/etl_prod.py [2017-03-02 00:16:40,333] {models.py:197} INFO - Importing /home/ubuntu/airflow/dags/etl_prod/etl_prod.py [2017-03-02 00:16:40,345] {models.py:284} INFO - Loaded DAG <DAG: etl_prod> [2017-03-02 00:16:40,373] {models.py:936} INFO - -------------------------------------------------------------------------------- New run starting @2017-03-02T00:16:40.369560 -------------------------------------------------------------------------------- [2017-03-02 00:16:40,402] {models.py:951} INFO - Queuing into pool None [2017-03-02 00:22:31,161] {models.py:124} INFO - Filling up the DagBag from /home/ubuntu/airflow/dags/etl_prod/etl_prod.py [2017-03-02 00:22:31,162] {models.py:197} INFO - Importing /home/ubuntu/airflow/dags/etl_prod/etl_prod.py [2017-03-02 00:22:31,172] {models.py:284} INFO - Loaded DAG <DAG: etl_prod> [2017-03-02 00:22:31,863] {models.py:124} INFO - Filling up the DagBag from /home/ubuntu/airflow/dags/etl_prod/etl_prod.py [2017-03-02 00:22:31,863] {models.py:197} INFO - Importing /home/ubuntu/airflow/dags/etl_prod/etl_prod.py [2017-03-02 00:22:31,874] {models.py:284} INFO - Loaded DAG <DAG: etl_prod> [2017-03-02 00:22:31,901] {models.py:936} INFO - -------------------------------------------------------------------------------- New run starting @2017-03-02T00:22:31.897547 -------------------------------------------------------------------------------- [2017-03-02 00:22:31,911] {models.py:974} INFO - Executing <Task(BashOperator): wait_mins> on 2017-03-01 00:00:00 [2017-03-02 00:22:31,922] {bash_operator.py:52} INFO - tmp dir root location: /tmp"
26,AIRFLOW-968,AIRFLOW,1489180243000,1556702180000,Bug,Closed,Blocker,1,298,"TravisCI builds in master are failing for Python 2.7 Last good build on master: https://travis-ci.org/apache/incubator-airflow/builds/204780659 First failing build on master: https://travis-ci.org/apache/incubator-airflow/builds/205138766 Python 3.4 builds seem fine, Python 2.7 builds are failing."
27,AIRFLOW-1000,AIRFLOW,1489779310000,1492445369000,Task,Closed,Blocker,1,478,"Rebrand to Apache Airflow instead of Airflow Apache requires branding in the form of ""Apache Airflow"" instead of just ""Airflow"". We should figure out a way to rebrand to ""Apache Airflow"" while having an upgrade path as smooth as possible for our users. This could mean that we first release side-by-side: airflow-1.8.1-apache.incubating apache-airflow-1.8.1-incubating It seems that pip does support some kind of packaging that helps with this (see for example Apache Libcloud)."
28,AIRFLOW-1001,AIRFLOW,1489782787000,1535984422000,Bug,Closed,Blocker,1,1990,"Landing Time shows ""unsupported operand type(s) for -: 'datetime.datetime' and 'NoneType'"" on example_subdag_operator Sample DAG example_subdag_operator shows below Oops page on ""Landing Times"" tab {noformat} ------------------------------------------------------------------------------- Traceback (most recent call last): File ""/opt/cloudera/parcels/Anaconda/lib/python2.7/site-packages/flask/app.py"", line 1988, in wsgi_app response = self.full_dispatch_request() File ""/opt/cloudera/parcels/Anaconda/lib/python2.7/site-packages/flask/app.py"", line 1641, in full_dispatch_request rv = self.handle_user_exception(e) File ""/opt/cloudera/parcels/Anaconda/lib/python2.7/site-packages/flask/app.py"", line 1544, in handle_user_exception reraise(exc_type, exc_value, tb) File ""/opt/cloudera/parcels/Anaconda/lib/python2.7/site-packages/flask/app.py"", line 1639, in full_dispatch_request rv = self.dispatch_request() File ""/opt/cloudera/parcels/Anaconda/lib/python2.7/site-packages/flask/app.py"", line 1625, in dispatch_request return self.view_functions[rule.endpoint](**req.view_args) File ""/opt/cloudera/parcels/Anaconda/lib/python2.7/site-packages/flask_admin/base.py"", line 69, in inner return self._run_view(f, *args, **kwargs) File ""/opt/cloudera/parcels/Anaconda/lib/python2.7/site-packages/flask_admin/base.py"", line 368, in _run_view return fn(self, *args, **kwargs) File ""/opt/cloudera/parcels/Anaconda/lib/python2.7/site-packages/flask_login.py"", line 755, in decorated_view return func(*args, **kwargs) File ""/opt/cloudera/parcels/Anaconda/lib/python2.7/site-packages/airflow/www/utils.py"", line 125, in wrapper return f(*args, **kwargs) File ""/opt/cloudera/parcels/Anaconda/lib/python2.7/site-packages/airflow/www/views.py"", line 1560, in landing_times secs = (ti.end_date - ts).total_seconds() TypeError: unsupported operand type(s) for -: 'datetime.datetime' and 'NoneType' {noformat} http://somehost:18111/admin/airflow/landing_times?root=&days=30&dag_id=example_subdag_operator"
